ID_its,1650_59,1660_69
275,382.51,86.05
276,0,0
277,0,0
278,196.72,99.14
279,947.12,3528.89
280,886.47,952.5
281,861.33,584.59
282,0,133.25
283,545.55,610.5
284,248.27,0
285,47.36,0
286,873.7,672.01
287,1529.03,0
288,0,336.76
289,0,480.63
290,0,206.49
291,625.25,842.28
292,0,437.02
293,43.37,812.98
294,158.26,193.49
295,0,364.17
296,735.87,0
297,139.29,2121.19
298,0,270.33
299,235.1,0
300,710.27,642.36
301,167.34,3370.63
302,0,3203.84
303,0,269.2
304,0,1209.82
305,0,0
306,2081.64,334.45
307,3494.6,338.87
308,0,1211.44
309,3561.37,680.58
310,0,0
311,444.31,203.46
312,0,2540.01
313,603.38,545.26
314,180.46,652.67
315,521.38,383.07
316,174.79,108.51
317,60.17,210.05
318,0,378.68
319,0,144.5
320,361.7,101.81
321,0,714.8
322,0,1527
323,0,404.56
324,0,0
325,0,1365.19
326,0,41.78
327,214.41,56.8
328,183.97,495.88
329,436.3,379.36
330,2346.3,379.48
331,179.01,0
332,149.12,0
333,2498.24,273.9
334,90.13,412.23
335,253.83,0
336,0,0
337,102.63,0
338,363.86,982.32
339,340.55,10104.79
340,312.95,314.96
341,0,0
342,178.78,91.67
343,0,2483.96
344,25.62,0
345,161.06,3775.03
346,144.48,1445.13
347,1088.82,0
348,0,640.78
349,467.83,0
350,0,0
351,524,0
352,1127.4,3036.14
353,696.65,144
354,942.65,706.36
355,676.34,136.41
356,90.68,318.78
357,47.88,0
358,2446.66,0
359,257.82,0
360,0,788.25
361,135.86,141.95
362,0,612.59
363,46.09,382.36
364,71.48,289.52
365,43.24,0
366,177.2,125.03
367,32.68,443.85
368,0,218.77
369,141.53,367.38
370,200.76,0
371,0,1169.46
372,1217.41,2251.36
373,848.9,119.27
374,424.31,375.8
375,399.95,97.97
376,385.85,0
377,632.6,216.54
378,32.04,298.01
379,381.19,376.22
380,0,758.42
381,82.66,446.83
382,211.59,279.92
383,82.66,1282.6
384,165.56,0
385,651.57,0
386,186.23,0
387,3.36,0
388,60.93,302.94
389,210.73,302.39
390,634.25,1021.45
391,102.93,0
392,0,0
393,824.4,0
394,11.42,0
395,230.15,0
396,354.74,0
397,523.54,1445.61
398,566.3,0
399,172.21,0
400,0,0
401,0,0
402,0,2298.85
403,0,2155.17
404,0,0
405,0,1156.74
406,0,0
407,0,0
408,241.31,0
409,0,0
410,475.34,0
411,0,0
412,0,0
413,1166.41,0
414,512.58,0
415,0,0
416,0,0
417,840.96,0
418,437.93,0
419,608.32,0
420,302.66,0
421,2627.84,0
422,2086.44,0
423,0,0
424,284.97,0
425,1826.25,0
426,0,0
427,366.08,0
428,0,0
429,328.52,0
430,0,0
431,0,0
432,0,0
433,357.21,0
434,357.65,0
435,0,0
436,167.95,0
437,644.51,0
438,253.68,0
439,402.51,0
440,0,0
441,198.01,0
442,0,0
443,187.29,0
444,212.49,0
445,76.93,0
446,323.31,0
447,1041.2,0
448,967.87,0
449,1060.89,0
450,6.52,0
451,756.27,0
452,330.65,0
453,0,0
454,144.38,0
455,0,0
456,51.23,0
457,0,0
458,1291.99,0
459,0,0
460,1446.48,0
461,0,0
462,0,0
463,45.73,0
464,255.36,0
465,20.89,0
466,0,0
467,0,0
468,116.05,0
469,132.42,0
470,1290.32,0
471,575.58,0
472,464.4,0
473,0,0
474,0,0
475,68.28,0
476,1263.22,0
477,1348.14,0
478,75.51,0
479,896.24,0
480,440.89,0
481,209.71,0
482,0,0
483,0,0
484,0,0
485,0,0
486,416.38,0
487,538.41,0
488,236.57,0
