ID_must,1650_59,1660_69
702,1481.87,966.18
703,2347.67,1243.99
704,0,3070.74
705,2626.4,1340
706,2761.4,2073.78
707,1432.05,2393.18
708,382.53,367.51
709,396.28,2103.79
710,849.55,2145
711,552.3,518.67
712,822.31,0
713,1145.94,3216.3
714,0,68.23
715,613.92,111.37
716,3027.38,798.08
717,960.84,341.67
718,0,1057.51
719,1011.42,765.59
720,1984.13,289.27
721,3114.66,1340.82
722,0,313.64
723,1488.67,156.58
724,654.49,895.73
725,0,194.37
726,0,1301.06
727,0,566.47
728,820.63,3106.57
729,745.97,0
730,1096.09,960.27
731,458.09,629.19
732,903.02,1052.63
733,1403.18,663.36
734,1822.53,856.9
735,934.45,260.55
736,0,1223.78
737,189.8,210.63
738,715.62,69.18
739,1139.99,0
740,361.64,3289.09
741,2102.5,530.5
742,361.18,0
743,848.61,820.01
744,651.42,448.03
745,214.26,442.58
746,211.89,586.11
747,205.56,441.5
748,0,1437.51
749,679.22,3069.2
750,315.89,0
751,0,0
752,793.48,0
753,620.63,0
754,997.52,1610.82
755,0,0
756,559.86,0
757,884.09,0
758,750.4,0
759,1304.12,2013.09
760,633.5,0
761,697.84,2193.83
762,876.81,0
763,0,0
764,0,0
765,2668.19,0
766,1189.28,0
767,0,840.69
768,4498.31,0
769,515.2,0
770,0,0
771,197.88,0
772,2362.69,0
773,0,0
774,802.24,0
775,1213.99,0
776,1577.78,0
777,1253.31,4862.24
778,38.93,0
779,1036.95,2570.69
780,1582.39,2242.15
781,374.86,0
782,0,1189.28
783,454.86,126.75
784,790.69,879.02
785,261.25,503.02
786,472.26,520.97
787,0,3275.92
788,0,0
789,536.43,980.36
790,1224.67,2439.87
791,3022.06,979.06
792,1051.52,378.99
793,2705.63,40.62
794,3557.97,279.1
795,618.05,872.09
796,891.07,677.2
797,929.37,597.48
798,3887.27,407.08
799,1751.75,2756.51
800,1056.08,0
801,1214.33,0
802,1890.72,0
803,781.22,1576.32
804,1203.77,1746.13
805,1805.87,3508.65
806,373.09,2458.92
807,683.76,138.55
808,684.44,0
809,858.66,0
810,2134.78,1533.74
811,706.68,0
812,996.51,1201.92
813,1637.87,0
814,1043.12,2275.31
815,1021.31,1330.86
816,0,699.23
817,1278.53,1571.92
818,129.01,1712.33
819,1281.78,1793.72
820,880.18,1027.98
821,1942.42,917.62
822,294.71,1622.06
823,1235.23,1640.13
824,554.12,423.01
825,490.52,728.6
826,13.47,0
827,897.22,2186.34
828,543.42,0
829,468.78,0
830,988.94,286.52
831,669.26,309.41
832,399.92,0
833,1405.81,0
834,256.58,0
835,1180.09,0
836,1250.25,876.62
837,1509.19,183.39
838,531.77,0
839,1126.26,1101.16
840,266.45,618.05
841,146.01,1092.7
842,797.66,2145.16
843,466.4,0
844,1753.29,1013.62
845,3195.13,899.73
846,5637.77,732.73
847,0,1257.99
848,1048.1,2032.52
849,2476.95,762.99
850,1127.1,388.95
851,604.29,1409.44
852,572.72,1081.08
853,1384.78,553.1
854,767.82,1100.11
855,993.7,721.18
856,0,2387.72
857,1724.78,2508.13
858,339.21,177.01
